Nomor Regulasi,Judul Regulasi,URL Regulasi,Sektor,Subsektor,Jenis,Nomor,Tanggal
6 Tahun 2024,Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024
2/SEOJK.06/2024,Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,2/SEOJK.06/2024,1 Mei 2024
7 Tahun 2024,Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,7 Tahun 2024,30 April 2024
3/SEOJK.06/2024,Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan.aspx,IKNB,"Lembaga Pembiayaan, Peraturan Lainnya",Surat Edaran OJK,3/SEOJK.06/2024,1 April 2024
5 Tahun 2024,Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,5 Tahun 2024,27 Maret 2024
4 Tahun 2024,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,4 Tahun 2024,28 Februari 2024
3 Tahun 2024,Penyelenggaraan Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan.aspx,ITSK,Peraturan Lainnya,Peraturan OJK,3 Tahun 2024,19 Februari 2024
2 Tahun 2024,Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Perbankan,"Bank Umum, Perbankan Syariah",Peraturan OJK,2 Tahun 2024,16 Februari 2024
1 Tahun 2024,Kualitas Aset Bank Perekonomian Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat.aspx,Perbankan,BPR,Peraturan OJK,1 Tahun 2024,11 Januari 2024
25/SEOJK.03/2023,Penerapan Manajemen Risiko Bagi Bank Umum Syariah dan Unit Usaha Syariah,https://www.ojk.go.id/id/regulasi/Pages/Penerapan-Manajemen-Risiko-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Perbankan,"Bank Umum, Perbankan Syariah",Surat Edaran OJK,25/SEOJK.03/2023,1 Januari 2024
22/SEOJK.05/2023,Laporan Keuangan Bulanan Badan Penyelenggara Jaminan Sosial dan Laporan Keuangan Bulanan Dana Jaminan Sosial,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Keuangan-Bulanan-Badan-Penyelenggara-Jaminan-Sosial-dan-Laporan-Keuangan-Bulanan-Dana-Jaminan-Sosial.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,22/SEOJK.05/2023,1 Januari 2024
28 Tahun 2023,Penetapan Status dan Tindak Lanjut Pengawasan Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS.aspx,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,28 Tahun 2023,31 Desember 2023
30 Tahun 2023,Pengomunikasian Hal Audit Utama Dalam Laporan Akuntan Publik Atas Laporan Keuangan Yang Diaudit di Pasar Modal,https://www.ojk.go.id/id/regulasi/Pages/Pengomunikasian-Hal-Audit-Utama-Dalam-Laporan-Akuntan-Publik-Atas-Laporan-Keuangan-Yang-Diaudit-di-Pasar-Modal.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,30 Tahun 2023,29 Desember 2023
29 Tahun 2023,Pembelian Kembali Saham yang Dikeluarkan oleh Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka-.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,29 Tahun 2023,29 Desember 2023
27 Tahun 2023,Penyelenggaraan Usaha Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Penyelenggaraan-Usaha-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Peraturan OJK,27 Tahun 2023,27 Desember 2023
26 Tahun 2023,Pengguna Standar Akuntansi Keuangan Internasional di Pasar Modal,https://www.ojk.go.id/id/regulasi/Pages/Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,26 Tahun 2023,22 Desember 2023
